,UID,code3,FIPS,Lat,Long_,Confirmed,Deaths
count,627920.0,627920.0,626040.0,627920.0,627920.0,627920.0,627920.0
mean,83429579.94550899,834.491616766467,33061.68468468468,36.70721244570958,-88.6014744556108,357.28428462224485,17.53632787616257
std,4314702.3393478375,36.49262024009971,18636.15682534737,9.061571890672305,21.715747344705807,3487.2826935220846,300.9914658104827
min,16.0,16.0,60.0,-14.271,-174.1596,0.0,0.0
25%,84018108.5,840.0,19079.0,33.89558681,-97.7902039975,0.0,0.0
50%,84029208.0,840.0,31014.0,38.00234432,-89.48670996999999,4.0,0.0
75%,84046119.5,840.0,47131.0,41.5730686475,-82.3112647025,63.0,1.0
max,84099999.0,850.0,99999.0,69.31479216,145.6739,224051.0,23500.0
